Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,BLE,Battery,Item,Seq_Item,Response,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Reg_Numerical,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,46P,9,NA,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,42,-5228,0.6039353303822165,0.6063306956292646,0.38079874013913334,0.26591344647929227,-0.3748015347836645,-0.9732544623278824,0.6004433668595268,-0.8603631807731179,NA,-0.06021955861846388
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,47P,19,NA,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,42,-95053,0.6039353303822165,0.6063306956292646,0.38079874013913334,0.26591344647929227,-0.3748015347836645,1.3168816486531867,-1.8266917371904514,1.8001445396679319,NA,-0.06021955861846388
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,48P,29,0,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,42,-11415,0.6039353303822165,0.6063306956292646,0.38079874013913334,0.26591344647929227,-0.3748015347836645,-0.48429688567862433,0.43326624591594526,-0.17360400352982677,NA,-0.06021955861846388
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,49P,39,0,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,42,-34938,0.6039353303822165,0.6063306956292646,0.38079874013913334,0.26591344647929227,-0.3748015347836645,1.0680391360335708,-0.20234187044996227,0.1702056744311587,NA,-0.06021955861846388
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,50P,49,0,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,42,9386,0.6039353303822165,0.6063306956292646,0.38079874013913334,0.26591344647929227,-0.3748015347836645,-0.9273694366802506,0.9953239948649416,-0.936383029796146,NA,-0.06021955861846388
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,50P,1,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,42,9386,0.6039353303822165,0.6063306956292646,0.38079874013913334,-1.329567232396462,0.3748015347836645,-0.9273694366802506,0.9953239948649416,-0.936383029796146,NA,-0.6383273213557155
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,49P,11,1,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,42,-34938,0.6039353303822165,0.6063306956292646,0.38079874013913334,-1.329567232396462,0.3748015347836645,1.0680391360335708,-0.20234187044996227,0.1702056744311587,NA,-0.6383273213557155
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,48P,21,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,42,-11415,0.6039353303822165,0.6063306956292646,0.38079874013913334,-1.329567232396462,0.3748015347836645,-0.48429688567862433,0.43326624591594526,-0.17360400352982677,NA,-0.6383273213557155
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,47P,31,0,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,42,-95053,0.6039353303822165,0.6063306956292646,0.38079874013913334,-1.329567232396462,0.3748015347836645,1.3168816486531867,-1.8266917371904514,1.8001445396679319,NA,-0.6383273213557155
SBC02,4,Female,Comparison,Comparison,28,2,0,3,22,40,7,48,Advanced,Native Range,21,21,0,B,46P,41,1,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,42,-5228,0.6039353303822165,0.6063306956292646,0.38079874013913334,-1.329567232396462,0.3748015347836645,-0.9732544623278824,0.6004433668595268,-0.8603631807731179,NA,-0.6383273213557155
