Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,BLE,Battery,Item,Seq_Item,Response,Response_Freq,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Reg_Numerical,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,40C,2,1,1,#10: excluir,excluir,53412,6569,1574,Irregular,0,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,H,Irregular stative with entre,Comparación,Receptiva,42,-4995,0.5462446021892244,0.5547069035976201,0.3900982009199113,0.5621788133997206,-0.4412913453384134,-0.6376238756407662,-0.3279934871195207,-0.6240323931104077,NA,0.08406549685901378
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,30C,4,1,1,#03: haber,haber,7679109,1017563,4153642,Irregular,0,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,F,Irregular stative with durante,Comparación,Receptiva,42,3136079,0.5462446021892244,0.5547069035976201,0.3900982009199113,0.5621788133997206,-0.4412913453384134,1.4158020255869699,3.559878790694099,0.8952480284891625,NA,0.08406549685901378
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,35C,7,1,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,G,Regular stative with entre,Comparación,Receptiva,42,-95053,0.5462446021892244,0.5547069035976201,0.3900982009199113,0.5621788133997206,-0.4412913453384134,-0.49059505498252864,-0.43946300410490174,-0.29564346612407105,NA,0.08406549685901378
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,25C,9,0,0,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,E,Regular stative with durante,Comparación,Receptiva,42,9386,0.5462446021892244,0.5547069035976201,0.3900982009199113,0.5621788133997206,-0.4412913453384134,-0.6303991698951877,-0.3101933680432946,-0.6255186218486218,NA,0.08406549685901378
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,39C,12,0,0,#06: creer,creer,537246,33274,70392,Irregular,0,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,H,Irregular stative with entre,Comparación,Receptiva,42,37118,0.5462446021892244,0.5547069035976201,0.3900982009199113,0.5621788133997206,-0.4412913453384134,-0.5073384384545495,-0.2758680149926096,-0.5839012116604521,NA,0.08406549685901378
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,29C,14,1,1,#02: tener,tener,8031798,2061773,1797701,Irregular,0,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,F,Irregular stative with durante,Comparación,Receptiva,42,-264072,0.5462446021892244,0.5547069035976201,0.3900982009199113,0.5621788133997206,-0.4412913453384134,1.5107731118598848,-0.6486666982947809,2.4644440959618548,NA,0.08406549685901378
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,34C,17,0,0,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,G,Regular stative with entre,Comparación,Receptiva,42,9386,0.5462446021892244,0.5547069035976201,0.3900982009199113,0.5621788133997206,-0.4412913453384134,-0.6303991698951877,-0.3101933680432946,-0.6255186218486218,NA,0.08406549685901378
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,24C,19,0,0,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,E,Regular stative with durante,Comparación,Receptiva,42,-5228,0.5462446021892244,0.5547069035976201,0.3900982009199113,0.5621788133997206,-0.4412913453384134,-0.633257546767693,-0.32828188345807574,-0.6163547969288753,NA,0.08406549685901378
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,23C,22,0,0,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,E,Regular stative with durante,Comparación,Receptiva,42,-11415,0.5462446021892244,0.5547069035976201,0.3900982009199113,0.5621788133997206,-0.4412913453384134,-0.6027982627419344,-0.33593985833636036,-0.5335693015199028,NA,0.08406549685901378
SBC01,14,Male,Comparison,Comparison,29,2,0,20,26,40,7,47,Advanced,Native Range,21,21,0,A,33C,25,1,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Preterit,APST,Interpretation,NA,NA,G,Regular stative with entre,Comparación,Receptiva,42,-11415,0.5462446021892244,0.5547069035976201,0.3900982009199113,0.5621788133997206,-0.4412913453384134,-0.6027982627419344,-0.33593985833636036,-0.5335693015199028,NA,0.08406549685901378
