Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,BLE,Battery,Item,Seq_Item,Response,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Reg_Numerical,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,50P,1,0,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,23,9386,-0.7467134165054254,-1.0579787311830409,-0.4084907307879392,-1.0743107860525034,1.0211359681968886,-0.9342781696536459,1.0027389768888813,-0.9433589123924483,NA,-0.3658500111474624
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,49P,11,1,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-34938,-0.7467134165054254,-1.0579787311830409,-0.4084907307879392,-1.0743107860525034,1.0211359681968886,1.0759958325820425,-0.20384928043888792,0.1714736756275438,NA,-0.3658500111474624
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,48P,21,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-11415,-0.7467134165054254,-1.0579787311830409,-0.4084907307879392,-1.0743107860525034,1.0211359681968886,-0.4879048090483851,0.4364940003372404,-0.17489732165749058,NA,-0.3658500111474624
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,47P,31,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EMPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-95053,-0.7467134165054254,-1.0579787311830409,-0.4084907307879392,-1.0743107860525034,1.0211359681968886,1.3266921764841209,-1.8403002570939468,1.81355528779718,NA,-0.3658500111474624
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,46P,41,0,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-5228,-0.7467134165054254,-1.0579787311830409,-0.4084907307879392,-1.0743107860525034,1.0211359681968886,-0.9805050303641322,0.6049165603067131,-0.8667727293747849,NA,-0.3658500111474624
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,50P,1,0,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,25,9386,-0.4831675047976283,-0.5341251846749332,-0.4084907307879392,-1.0743107860525034,-0.18596847102923464,-0.9342781696536459,1.0027389768888813,-0.9433589123924483,NA,-0.48257267066076587
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,49P,11,0,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,25,-34938,-0.4831675047976283,-0.5341251846749332,-0.4084907307879392,-1.0743107860525034,-0.18596847102923464,1.0759958325820425,-0.20384928043888792,0.1714736756275438,NA,-0.48257267066076587
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,48P,21,0,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,25,-11415,-0.4831675047976283,-0.5341251846749332,-0.4084907307879392,-1.0743107860525034,-0.18596847102923464,-0.4879048090483851,0.4364940003372404,-0.17489732165749058,NA,-0.48257267066076587
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,47P,31,0,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EMPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,25,-95053,-0.4831675047976283,-0.5341251846749332,-0.4084907307879392,-1.0743107860525034,-0.18596847102923464,1.3266921764841209,-1.8403002570939468,1.81355528779718,NA,-0.48257267066076587
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,46P,41,1,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,25,-5228,-0.4831675047976283,-0.5341251846749332,-0.4084907307879392,-1.0743107860525034,-0.18596847102923464,-0.9805050303641322,0.6049165603067131,-0.8667727293747849,NA,-0.48257267066076587
