Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,BLE,Battery,Item,Seq_Item,Response,Response_Freq,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Reg_Numerical,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,0,A,46P,9,NA,NA,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,14,-5228,-0.6950314184288837,-0.6717582531028574,-0.7033513535503285,-0.26659225152173605,-0.21883258563285166,-0.9790109816729329,0.6039948161368995,-0.8654519807587288,NA,-0.6688067238057671
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,0,A,47P,19,0,0,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,14,-95053,-0.6950314184288837,-0.6717582531028574,-0.7033513535503285,-0.26659225152173605,-0.21883258563285166,1.3246706236633625,-1.8374960917858874,1.8107918752493173,NA,-0.6688067238057671
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,0,A,48P,29,NA,NA,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,14,-11415,-0.6950314184288837,-0.6717582531028574,-0.7033513535503285,-0.26659225152173605,-0.21883258563285166,-0.4871613620299462,0.435828890756234,-0.17463082112314904,NA,-0.6688067238057671
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,0,A,49P,39,0,0,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,14,-34938,-0.6950314184288837,-0.6717582531028574,-0.7033513535503285,-0.26659225152173605,-0.21883258563285166,1.0743562793766825,-0.20353866423477876,0.17121239188833515,NA,-0.6688067238057671
L2L01,37,Female,L2 Learner,L2 Learner,20,2,10,0,0,35,3,35,Intermediate,Intermediate,7,7,0,A,50P,49,1,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,14,9386,-0.6950314184288837,-0.6717582531028574,-0.7033513535503285,-0.26659225152173605,-0.21883258563285166,-0.9328545593371657,1.0012110491275326,-0.9419214652557747,NA,-0.6688067238057671
L2L02,40,Female,L2 Learner,L2 Learner,18,2,10,0,0,30,0,26,Intermediate,Intermediate,11,14,0,B,50P,1,0,0,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,25,9386,0.4251657394784748,0.14870984228994547,0.6835386393658119,-0.26659225152173605,-1.5318280994299618,-0.9328545593371657,1.0012110491275326,-0.9419214652557747,NA,-0.6688067238057671
L2L02,40,Female,L2 Learner,L2 Learner,18,2,10,0,0,30,0,26,Intermediate,Intermediate,11,14,0,B,49P,11,0,0,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,25,-34938,0.4251657394784748,0.14870984228994547,0.6835386393658119,-0.26659225152173605,-1.5318280994299618,1.0743562793766825,-0.20353866423477876,0.17121239188833515,NA,-0.6688067238057671
L2L02,40,Female,L2 Learner,L2 Learner,18,2,10,0,0,30,0,26,Intermediate,Intermediate,11,14,0,B,48P,21,0,0,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,25,-11415,0.4251657394784748,0.14870984228994547,0.6835386393658119,-0.26659225152173605,-1.5318280994299618,-0.4871613620299462,0.435828890756234,-0.17463082112314904,NA,-0.6688067238057671
L2L02,40,Female,L2 Learner,L2 Learner,18,2,10,0,0,30,0,26,Intermediate,Intermediate,11,14,0,B,47P,31,0,0,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,25,-95053,0.4251657394784748,0.14870984228994547,0.6835386393658119,-0.26659225152173605,-1.5318280994299618,1.3246706236633625,-1.8374960917858874,1.8107918752493173,NA,-0.6688067238057671
L2L02,40,Female,L2 Learner,L2 Learner,18,2,10,0,0,30,0,26,Intermediate,Intermediate,11,14,0,B,46P,41,0,0,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,25,-5228,0.4251657394784748,0.14870984228994547,0.6835386393658119,-0.26659225152173605,-1.5318280994299618,-0.9790109816729329,0.6039948161368995,-0.8654519807587288,NA,-0.6688067238057671
