Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,BLE,Battery,Item,Seq_Item,Response,Response_Freq,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Reg_Numerical,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,50P,1,1,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,43,9386,1.6591539071437083,1.557569654971647,1.7271708682740923,-0.7383999381349072,-0.12949849347804826,-0.9337330915293645,1.002153957246531,-0.9428085363661288,NA,-0.6832543787857566
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,49P,11,0,0,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,43,-34938,1.6591539071437083,1.557569654971647,1.7271708682740923,-0.7383999381349072,-0.12949849347804826,1.0753680733030517,-0.2037303503525102,0.17137363417039475,NA,-0.6832543787857566
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,48P,21,1,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,43,-11415,1.6591539071437083,1.557569654971647,1.7271708682740923,-0.7383999381349072,-0.12949849347804826,-0.487620154812867,0.4362393402812829,-0.17479528277107817,NA,-0.6832543787857566
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,47P,31,1,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EMPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,43,-95053,1.6591539071437083,1.557569654971647,1.7271708682740923,-0.7383999381349072,-0.12949849347804826,1.3259181555270383,-1.839226586055884,1.8124972203536054,NA,-0.6832543787857566
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,46P,41,0,0,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,43,-5228,1.6591539071437083,1.557569654971647,1.7271708682740923,-0.7383999381349072,-0.12949849347804826,-0.9799329824878583,0.6045636388805805,-0.8662670353867931,NA,-0.6832543787857566
HSP07,21,Female,Heritage,Sequential,39,2,0,7,7,27,0,39,Intermediate,Intermediate,11,12,0,B,50P,1,0,0,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,23,9386,-0.6049367124127379,-0.7079862068052941,-0.49248647247976124,1.8160647127101774,-0.32682953115888375,-0.9337330915293645,1.002153957246531,-0.9428085363661288,NA,2.0259127896777605
HSP07,21,Female,Heritage,Sequential,39,2,0,7,7,27,0,39,Intermediate,Intermediate,11,12,0,B,49P,11,0,0,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-34938,-0.6049367124127379,-0.7079862068052941,-0.49248647247976124,1.8160647127101774,-0.32682953115888375,1.0753680733030517,-0.2037303503525102,0.17137363417039475,NA,2.0259127896777605
HSP07,21,Female,Heritage,Sequential,39,2,0,7,7,27,0,39,Intermediate,Intermediate,11,12,0,B,48P,21,0,0,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-11415,-0.6049367124127379,-0.7079862068052941,-0.49248647247976124,1.8160647127101774,-0.32682953115888375,-0.487620154812867,0.4362393402812829,-0.17479528277107817,NA,2.0259127896777605
HSP07,21,Female,Heritage,Sequential,39,2,0,7,7,27,0,39,Intermediate,Intermediate,11,12,0,B,47P,31,0,0,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-95053,-0.6049367124127379,-0.7079862068052941,-0.49248647247976124,1.8160647127101774,-0.32682953115888375,1.3259181555270383,-1.839226586055884,1.8124972203536054,NA,2.0259127896777605
HSP07,21,Female,Heritage,Sequential,39,2,0,7,7,27,0,39,Intermediate,Intermediate,11,12,0,B,46P,41,0,0,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-5228,-0.6049367124127379,-0.7079862068052941,-0.49248647247976124,1.8160647127101774,-0.32682953115888375,-0.9799329824878583,0.6045636388805805,-0.8662670353867931,NA,2.0259127896777605
