Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,BLE,Battery,Item,Seq_Item,Response,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Reg_Numerical,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,50P,1,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,43,9386,1.6203061401596353,1.5134170164598895,1.7076464018684547,-0.7474958193863028,-0.09231865415683314,-0.9320729466659227,1.0003721624707071,-0.9411322556783643,NA,-0.6673739339790494
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,49P,11,0,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,43,-34938,1.6203061401596353,1.5134170164598895,1.7076464018684547,-0.7474958193863028,-0.09231865415683314,1.0734561063829555,-0.2033681248967207,0.17106893782721241,NA,-0.6673739339790494
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,48P,21,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,43,-11415,1.6203061401596353,1.5134170164598895,1.7076464018684547,-0.7474958193863028,-0.09231865415683314,-0.48675318318824856,0.4354637219524808,-0.17448450285604808,NA,-0.6673739339790494
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,47P,31,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EMPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,43,-95053,1.6203061401596353,1.5134170164598895,1.7076464018684547,-0.7474958193863028,-0.09231865415683314,1.3235607193011922,-1.8359565053473326,1.809274663524818,NA,-0.6673739339790494
HSP03,2,Female,Heritage,Sequential,27,2,0,3,0,35,4,40,Advanced,Advanced,21,22,0,B,46P,41,0,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,43,-5228,1.6203061401596353,1.5134170164598895,1.7076464018684547,-0.7474958193863028,-0.09231865415683314,-0.9781906958299764,0.6034887458208653,-0.864726842817618,NA,-0.6673739339790494
HSP07,21,Female,Heritage,Sequential,39,2,0,7,7,27,0,39,Intermediate,Intermediate,11,12,0,B,50P,1,0,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,23,9386,-0.6094729518031653,-0.6905883473166484,-0.5197184701338776,1.744156911901373,-0.2901443416357605,-0.9320729466659227,1.0003721624707071,-0.9411322556783643,NA,2.0024777821659674
HSP07,21,Female,Heritage,Sequential,39,2,0,7,7,27,0,39,Intermediate,Intermediate,11,12,0,B,49P,11,0,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-34938,-0.6094729518031653,-0.6905883473166484,-0.5197184701338776,1.744156911901373,-0.2901443416357605,1.0734561063829555,-0.2033681248967207,0.17106893782721241,NA,2.0024777821659674
HSP07,21,Female,Heritage,Sequential,39,2,0,7,7,27,0,39,Intermediate,Intermediate,11,12,0,B,48P,21,0,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-11415,-0.6094729518031653,-0.6905883473166484,-0.5197184701338776,1.744156911901373,-0.2901443416357605,-0.48675318318824856,0.4354637219524808,-0.17448450285604808,NA,2.0024777821659674
HSP07,21,Female,Heritage,Sequential,39,2,0,7,7,27,0,39,Intermediate,Intermediate,11,12,0,B,47P,31,0,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-95053,-0.6094729518031653,-0.6905883473166484,-0.5197184701338776,1.744156911901373,-0.2901443416357605,1.3235607193011922,-1.8359565053473326,1.809274663524818,NA,2.0024777821659674
HSP07,21,Female,Heritage,Sequential,39,2,0,7,7,27,0,39,Intermediate,Intermediate,11,12,0,B,46P,41,0,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-5228,-0.6094729518031653,-0.6905883473166484,-0.5197184701338776,1.744156911901373,-0.2901443416357605,-0.9781906958299764,0.6034887458208653,-0.864726842817618,NA,2.0024777821659674
HSP08,36,Female,Heritage,Sequential,25,2,0,5,5,37,4,41,Advanced,Advanced,13,11,0,A,46P,9,1,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,24,-5228,-0.4979839972050253,-0.24978727456134084,-0.7424549573341109,0.49833054625753503,0.10550703332209423,-0.9781906958299764,0.6034887458208653,-0.864726842817618,NA,1.2396630061245342
HSP08,36,Female,Heritage,Sequential,25,2,0,5,5,37,4,41,Advanced,Advanced,13,11,0,A,47P,19,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,24,-95053,-0.4979839972050253,-0.24978727456134084,-0.7424549573341109,0.49833054625753503,0.10550703332209423,1.3235607193011922,-1.8359565053473326,1.809274663524818,NA,1.2396630061245342
HSP08,36,Female,Heritage,Sequential,25,2,0,5,5,37,4,41,Advanced,Advanced,13,11,0,A,48P,29,0,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,24,-11415,-0.4979839972050253,-0.24978727456134084,-0.7424549573341109,0.49833054625753503,0.10550703332209423,-0.48675318318824856,0.4354637219524808,-0.17448450285604808,NA,1.2396630061245342
HSP08,36,Female,Heritage,Sequential,25,2,0,5,5,37,4,41,Advanced,Advanced,13,11,0,A,49P,39,1,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,24,-34938,-0.4979839972050253,-0.24978727456134084,-0.7424549573341109,0.49833054625753503,0.10550703332209423,1.0734561063829555,-0.2033681248967207,0.17106893782721241,NA,1.2396630061245342
HSP08,36,Female,Heritage,Sequential,25,2,0,5,5,37,4,41,Advanced,Advanced,13,11,0,A,50P,49,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,24,9386,-0.4979839972050253,-0.24978727456134084,-0.7424549573341109,0.49833054625753503,0.10550703332209423,-0.9320729466659227,1.0003721624707071,-0.9411322556783643,NA,1.2396630061245342
HSP10,28,Female,Heritage,Sequential,31,2,0,4,0,30,1,43,Advanced,Advanced,16,16,0,A,46P,9,1,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,32,-5228,0.39392763958009497,0.41141433457162047,0.37122747866705524,-0.1245826365643839,0.501158408279949,-0.9781906958299764,0.6034887458208653,-0.864726842817618,NA,-0.6673739339790494
HSP10,28,Female,Heritage,Sequential,31,2,0,4,0,30,1,43,Advanced,Advanced,16,16,0,A,47P,19,0,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,32,-95053,0.39392763958009497,0.41141433457162047,0.37122747866705524,-0.1245826365643839,0.501158408279949,1.3235607193011922,-1.8359565053473326,1.809274663524818,NA,-0.6673739339790494
HSP10,28,Female,Heritage,Sequential,31,2,0,4,0,30,1,43,Advanced,Advanced,16,16,0,A,48P,29,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,32,-11415,0.39392763958009497,0.41141433457162047,0.37122747866705524,-0.1245826365643839,0.501158408279949,-0.48675318318824856,0.4354637219524808,-0.17448450285604808,NA,-0.6673739339790494
HSP10,28,Female,Heritage,Sequential,31,2,0,4,0,30,1,43,Advanced,Advanced,16,16,0,A,49P,39,0,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,32,-34938,0.39392763958009497,0.41141433457162047,0.37122747866705524,-0.1245826365643839,0.501158408279949,1.0734561063829555,-0.2033681248967207,0.17106893782721241,NA,-0.6673739339790494
HSP10,28,Female,Heritage,Sequential,31,2,0,4,0,30,1,43,Advanced,Advanced,16,16,0,A,50P,49,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,32,9386,0.39392763958009497,0.41141433457162047,0.37122747866705524,-0.1245826365643839,0.501158408279949,-0.9320729466659227,1.0003721624707071,-0.9411322556783643,NA,-0.6673739339790494
HSP12,30,Male,Heritage,Sequential,18,2,0,7,0,35,4,42,Advanced,Advanced,19,19,0,B,50P,1,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,38,9386,1.062861367168935,1.072615943704582,1.039436940267755,1.744156911901373,0.3033327208010216,-0.9320729466659227,1.0003721624707071,-0.9411322556783643,NA,-0.6673739339790494
HSP12,30,Male,Heritage,Sequential,18,2,0,7,0,35,4,42,Advanced,Advanced,19,19,0,B,49P,11,1,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,38,-34938,1.062861367168935,1.072615943704582,1.039436940267755,1.744156911901373,0.3033327208010216,1.0734561063829555,-0.2033681248967207,0.17106893782721241,NA,-0.6673739339790494
HSP12,30,Male,Heritage,Sequential,18,2,0,7,0,35,4,42,Advanced,Advanced,19,19,0,B,48P,21,0,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,38,-11415,1.062861367168935,1.072615943704582,1.039436940267755,1.744156911901373,0.3033327208010216,-0.48675318318824856,0.4354637219524808,-0.17448450285604808,NA,-0.6673739339790494
HSP12,30,Male,Heritage,Sequential,18,2,0,7,0,35,4,42,Advanced,Advanced,19,19,0,B,47P,31,0,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,38,-95053,1.062861367168935,1.072615943704582,1.039436940267755,1.744156911901373,0.3033327208010216,1.3235607193011922,-1.8359565053473326,1.809274663524818,NA,-0.6673739339790494
HSP12,30,Male,Heritage,Sequential,18,2,0,7,0,35,4,42,Advanced,Advanced,19,19,0,B,46P,41,1,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,38,-5228,1.062861367168935,1.072615943704582,1.039436940267755,1.744156911901373,0.3033327208010216,-0.9781906958299764,0.6034887458208653,-0.864726842817618,NA,-0.6673739339790494
HSP16,43,Female,Heritage,Sequential,21,2,0,3,0.333,40,5,31,Intermediate,Intermediate,18,17,0,A,46P,9,1,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,35,-5228,0.7283945033745151,0.852215407326928,0.5939639658672885,-0.7474958193863028,-1.8727498414671795,-0.9781906958299764,0.6034887458208653,-0.864726842817618,NA,-0.5403652737681508
HSP16,43,Female,Heritage,Sequential,21,2,0,3,0.333,40,5,31,Intermediate,Intermediate,18,17,0,A,47P,19,0,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,35,-95053,0.7283945033745151,0.852215407326928,0.5939639658672885,-0.7474958193863028,-1.8727498414671795,1.3235607193011922,-1.8359565053473326,1.809274663524818,NA,-0.5403652737681508
HSP16,43,Female,Heritage,Sequential,21,2,0,3,0.333,40,5,31,Intermediate,Intermediate,18,17,0,A,48P,29,0,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,35,-11415,0.7283945033745151,0.852215407326928,0.5939639658672885,-0.7474958193863028,-1.8727498414671795,-0.48675318318824856,0.4354637219524808,-0.17448450285604808,NA,-0.5403652737681508
HSP16,43,Female,Heritage,Sequential,21,2,0,3,0.333,40,5,31,Intermediate,Intermediate,18,17,0,A,49P,39,1,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,35,-34938,0.7283945033745151,0.852215407326928,0.5939639658672885,-0.7474958193863028,-1.8727498414671795,1.0734561063829555,-0.2033681248967207,0.17106893782721241,NA,-0.5403652737681508
HSP16,43,Female,Heritage,Sequential,21,2,0,3,0.333,40,5,31,Intermediate,Intermediate,18,17,0,A,50P,49,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,35,9386,0.7283945033745151,0.852215407326928,0.5939639658672885,-0.7474958193863028,-1.8727498414671795,-0.9320729466659227,1.0003721624707071,-0.9411322556783643,NA,-0.5403652737681508
HSP17,44,Male,Heritage,Sequential,22,2,0,4,0,38,6,45,Advanced,Native Range,15,15,0,A,46P,9,1,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,30,-5228,0.1709497303838149,0.19101379819396672,0.14849099146682201,-0.1245826365643839,0.8968097832378037,-0.9781906958299764,0.6034887458208653,-0.864726842817618,NA,-0.6673739339790494
HSP17,44,Male,Heritage,Sequential,22,2,0,4,0,38,6,45,Advanced,Native Range,15,15,0,A,47P,19,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,30,-95053,0.1709497303838149,0.19101379819396672,0.14849099146682201,-0.1245826365643839,0.8968097832378037,1.3235607193011922,-1.8359565053473326,1.809274663524818,NA,-0.6673739339790494
HSP17,44,Male,Heritage,Sequential,22,2,0,4,0,38,6,45,Advanced,Native Range,15,15,0,A,48P,29,0,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,30,-11415,0.1709497303838149,0.19101379819396672,0.14849099146682201,-0.1245826365643839,0.8968097832378037,-0.48675318318824856,0.4354637219524808,-0.17448450285604808,NA,-0.6673739339790494
HSP17,44,Male,Heritage,Sequential,22,2,0,4,0,38,6,45,Advanced,Native Range,15,15,0,A,49P,39,0,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,30,-34938,0.1709497303838149,0.19101379819396672,0.14849099146682201,-0.1245826365643839,0.8968097832378037,1.0734561063829555,-0.2033681248967207,0.17106893782721241,NA,-0.6673739339790494
HSP17,44,Male,Heritage,Sequential,22,2,0,4,0,38,6,45,Advanced,Native Range,15,15,0,A,50P,49,0,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,30,9386,0.1709497303838149,0.19101379819396672,0.14849099146682201,-0.1245826365643839,0.8968097832378037,-0.9320729466659227,1.0003721624707071,-0.9411322556783643,NA,-0.6673739339790494
HSP18,46,Female,Heritage,Sequential,30,2,0,4,4.66,31,3,44,Advanced,Advanced,16,16,0,B,50P,1,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,32,9386,0.39392763958009497,0.41141433457162047,0.37122747866705524,-0.1245826365643839,0.6989840957588763,-0.9320729466659227,1.0003721624707071,-0.9411322556783643,NA,1.1099844941974903
HSP18,46,Female,Heritage,Sequential,30,2,0,4,4.66,31,3,44,Advanced,Advanced,16,16,0,B,49P,11,1,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,32,-34938,0.39392763958009497,0.41141433457162047,0.37122747866705524,-0.1245826365643839,0.6989840957588763,1.0734561063829555,-0.2033681248967207,0.17106893782721241,NA,1.1099844941974903
HSP18,46,Female,Heritage,Sequential,30,2,0,4,4.66,31,3,44,Advanced,Advanced,16,16,0,B,48P,21,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,32,-11415,0.39392763958009497,0.41141433457162047,0.37122747866705524,-0.1245826365643839,0.6989840957588763,-0.48675318318824856,0.4354637219524808,-0.17448450285604808,NA,1.1099844941974903
HSP18,46,Female,Heritage,Sequential,30,2,0,4,4.66,31,3,44,Advanced,Advanced,16,16,0,B,47P,31,0,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,32,-95053,0.39392763958009497,0.41141433457162047,0.37122747866705524,-0.1245826365643839,0.6989840957588763,1.3235607193011922,-1.8359565053473326,1.809274663524818,NA,1.1099844941974903
HSP18,46,Female,Heritage,Sequential,30,2,0,4,4.66,31,3,44,Advanced,Advanced,16,16,0,B,46P,41,1,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,32,-5228,0.39392763958009497,0.41141433457162047,0.37122747866705524,-0.1245826365643839,0.6989840957588763,-0.9781906958299764,0.6034887458208653,-0.864726842817618,NA,1.1099844941974903
HSP20,62,Female,Heritage,Sequential,23,2,0,4,0.25,35,2,42,Advanced,Advanced,7,6,0,B,50P,1,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,13,9386,-1.7243624977845655,-1.5721904928272634,-1.8561373933352772,-0.1245826365643839,0.3033327208010216,-0.9320729466659227,1.0003721624707071,-0.9411322556783643,NA,-0.5720220869738702
HSP20,62,Female,Heritage,Sequential,23,2,0,4,0.25,35,2,42,Advanced,Advanced,7,6,0,B,49P,11,0,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,13,-34938,-1.7243624977845655,-1.5721904928272634,-1.8561373933352772,-0.1245826365643839,0.3033327208010216,1.0734561063829555,-0.2033681248967207,0.17106893782721241,NA,-0.5720220869738702
