Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,BLE,Battery,Item,Seq_Item,Response,Response_Freq,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Reg_Numerical,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,50P,1,0,0,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,23,9386,-0.8297853799190704,-1.1684998413056185,-0.45312962878308843,-0.40077210428108945,1.2297206230760998,-0.9332451201913454,1.0016302289864372,-0.942315822177074,NA,-0.2000246902975101
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,49P,11,1,1,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-34938,-0.8297853799190704,-1.1684998413056185,-0.45312962878308843,-0.40077210428108945,1.2297206230760998,1.0748060831558106,-0.20362388034244147,0.1712840738642152,NA,-0.2000246902975101
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,48P,21,1,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-11415,-0.8297853799190704,-1.1684998413056185,-0.45312962878308843,-0.40077210428108945,1.2297206230760998,-0.4873653232538833,0.4360113604693808,-0.17470393430245576,NA,-0.2000246902975101
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,47P,31,1,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EMPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-95053,-0.8297853799190704,-1.1684998413056185,-0.45312962878308843,-0.40077210428108945,1.2297206230760998,1.3252252272562874,-1.8382654014665623,1.8115500046002004,NA,-0.2000246902975101
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,46P,41,0,0,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-5228,-0.8297853799190704,-1.1684998413056185,-0.45312962878308843,-0.40077210428108945,1.2297206230760998,-0.9794208669668689,0.6042476923531858,-0.8658143219848857,NA,-0.2000246902975101
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,50P,1,0,0,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,25,9386,-0.5186158624494189,-0.5311362915025537,-0.45312962878308843,-0.40077210428108945,0.06252816727505592,-0.9332451201913454,1.0016302289864372,-0.942315822177074,NA,-0.3174560153254026
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,49P,11,0,0,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,25,-34938,-0.5186158624494189,-0.5311362915025537,-0.45312962878308843,-0.40077210428108945,0.06252816727505592,1.0748060831558106,-0.20362388034244147,0.1712840738642152,NA,-0.3174560153254026
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,48P,21,0,0,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,25,-11415,-0.5186158624494189,-0.5311362915025537,-0.45312962878308843,-0.40077210428108945,0.06252816727505592,-0.4873653232538833,0.4360113604693808,-0.17470393430245576,NA,-0.3174560153254026
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,47P,31,0,0,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EMPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,25,-95053,-0.5186158624494189,-0.5311362915025537,-0.45312962878308843,-0.40077210428108945,0.06252816727505592,1.3252252272562874,-1.8382654014665623,1.8115500046002004,NA,-0.3174560153254026
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,46P,41,1,1,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,25,-5228,-0.5186158624494189,-0.5311362915025537,-0.45312962878308843,-0.40077210428108945,0.06252816727505592,-0.9794208669668689,0.6042476923531858,-0.8658143219848857,NA,-0.3174560153254026
