Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,BLE,Battery,Item,Seq_Item,Response,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Reg_Numerical,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,50P,1,0,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,23,9386,-0.9329550753783705,-1.2671822548070342,-0.5365664664941261,-0.3532415154788988,1.2220963322124478,-0.9311205326332782,0.9993499586949062,-0.9401705846309546,NA,-0.20930944550139285
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,49P,11,1,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-34938,-0.9329550753783705,-1.2671822548070342,-0.5365664664941261,-0.3532415154788988,1.2220963322124478,1.0723592237164175,-0.20316031856928995,0.17089413556788385,NA,-0.20930944550139285
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,48P,21,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-11415,-0.9329550753783705,-1.2671822548070342,-0.5365664664941261,-0.3532415154788988,1.2220963322124478,-0.4862558073511307,0.4350187548917173,-0.1743062104921365,NA,-0.20930944550139285
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,47P,31,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EMPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-95053,-0.9329550753783705,-1.2671822548070342,-0.5365664664941261,-0.3532415154788988,1.2220963322124478,1.3222082738658554,-1.8340804818608958,1.8074259041711502,NA,-0.20930944550139285
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,46P,41,0,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-5228,-0.9329550753783705,-1.2671822548070342,-0.5365664664941261,-0.3532415154788988,1.2220963322124478,-0.9771911575978636,0.6028720868435624,-0.8638432446159431,NA,-0.20930944550139285
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,50P,1,0,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,25,9386,-0.6102788838941221,-0.6122341231090166,-0.5365664664941261,-0.3532415154788988,0.0781573235717265,-0.9311205326332782,0.9993499586949062,-0.9401705846309546,NA,-0.3242597140432275
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,49P,11,0,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,25,-34938,-0.6102788838941221,-0.6122341231090166,-0.5365664664941261,-0.3532415154788988,0.0781573235717265,1.0723592237164175,-0.20316031856928995,0.17089413556788385,NA,-0.3242597140432275
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,48P,21,0,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,25,-11415,-0.6102788838941221,-0.6122341231090166,-0.5365664664941261,-0.3532415154788988,0.0781573235717265,-0.4862558073511307,0.4350187548917173,-0.1743062104921365,NA,-0.3242597140432275
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,47P,31,0,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EMPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,25,-95053,-0.6102788838941221,-0.6122341231090166,-0.5365664664941261,-0.3532415154788988,0.0781573235717265,1.3222082738658554,-1.8340804818608958,1.8074259041711502,NA,-0.3242597140432275
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,46P,41,1,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,25,-5228,-0.6102788838941221,-0.6122341231090166,-0.5365664664941261,-0.3532415154788988,0.0781573235717265,-0.9771911575978636,0.6028720868435624,-0.8638432446159431,NA,-0.3242597140432275
