Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,BLE,Battery,Item,Seq_Item,Response,Response_Freq,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Reg_Numerical,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,18P,23,1,NA,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,23,NA,-0.8304361070194071,-1.1694161921258157,-0.4534849781740881,-0.4010863943079156,1.2306849839272833,-0.9386820977863193,NA,NA,-1.0032666156171597,-0.2001815519268699
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,11P,48,1,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,23,NA,-0.8304361070194071,-1.1694161921258157,-0.4534849781740881,-0.4010863943079156,1.2306849839272833,-0.9386820977863193,NA,NA,0.4700879257418258,-0.2001815519268699
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,18P,23,1,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,25,NA,-0.5190225668871293,-0.5315528146026435,-0.4534849781740881,-0.4010863943079156,0.06257720257257372,-0.9386820977863193,NA,NA,-1.0032666156171597,-0.31770496793090314
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,11P,48,1,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,25,NA,-0.5190225668871293,-0.5315528146026435,-0.4534849781740881,-0.4010863943079156,0.06257720257257372,-0.9386820977863193,NA,NA,0.4700879257418258,-0.31770496793090314
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,11P,3,1,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,31,NA,0.4152180535097038,0.4252422516821151,0.36278798253927075,-0.4010863943079156,0.3963222829596336,-0.9386820977863193,NA,NA,0.4700879257418258,-0.16257405880557926
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,18P,28,0,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,31,NA,0.4152180535097038,0.4252422516821151,0.36278798253927075,-0.4010863943079156,0.3963222829596336,-0.9386820977863193,NA,NA,-1.0032666156171597,-0.16257405880557926
HSP05,18,Male,Heritage,Simultaneous,20,2,0,0,0,27,3,40,Advanced,Advanced,12,21,0,A,11P,3,0,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,33,NA,0.7266315936419816,-0.5315528146026435,1.7232429170615355,-0.4010863943079156,0.3963222829596336,-0.9386820977863193,NA,NA,0.4700879257418258,-0.31770496793090314
HSP05,18,Male,Heritage,Simultaneous,20,2,0,0,0,27,3,40,Advanced,Advanced,12,21,0,A,18P,28,0,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,33,NA,0.7266315936419816,-0.5315528146026435,1.7232429170615355,-0.4010863943079156,0.3963222829596336,-0.9386820977863193,NA,NA,-1.0032666156171597,-0.31770496793090314
HSP06,3,Female,Heritage,Simultaneous,26,3,0,0,0,33,3,49,Advanced,Native Range,20,20,0,A,11P,3,1,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,40,NA,1.8165789841049536,2.019900695490046,1.4511519301570825,-0.4010863943079156,1.898175144701403,-0.9386820977863193,NA,NA,0.4700879257418258,-0.31770496793090314
HSP06,3,Female,Heritage,Simultaneous,26,3,0,0,0,33,3,49,Advanced,Native Range,20,20,0,A,18P,28,1,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,40,NA,1.8165789841049536,2.019900695490046,1.4511519301570825,-0.4010863943079156,1.898175144701403,-0.9386820977863193,NA,NA,-1.0032666156171597,-0.31770496793090314
HSP09,35,Female,Heritage,Simultaneous,23,2,0,0,0.416,24,1,30,Intermediate,Intermediate,12,11,0,B,18P,23,1,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,23,NA,-0.8304361070194071,-0.5315528146026435,-0.997666951982994,-0.4010863943079156,-1.2724031189756657,-0.9386820977863193,NA,NA,-1.0032666156171597,-0.12214600370019185
HSP09,35,Female,Heritage,Simultaneous,23,2,0,0,0.416,24,1,30,Intermediate,Intermediate,12,11,0,B,11P,48,1,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,23,NA,-0.8304361070194071,-0.5315528146026435,-0.997666951982994,-0.4010863943079156,-1.2724031189756657,-0.9386820977863193,NA,NA,0.4700879257418258,-0.12214600370019185
HSP11,26,Female,Heritage,Simultaneous,20,2,0,3,0,35,5,34,Intermediate,Intermediate,13,13,0,B,18P,23,1,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,26,NA,-0.3633157968209905,-0.21262112584105725,-0.4534849781740881,2.4867356447090767,-0.604912958201546,-0.9386820977863193,NA,NA,-1.0032666156171597,-0.31770496793090314
HSP11,26,Female,Heritage,Simultaneous,20,2,0,3,0,35,5,34,Intermediate,Intermediate,13,13,0,B,11P,48,1,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,26,NA,-0.3633157968209905,-0.21262112584105725,-0.4534849781740881,2.4867356447090767,-0.604912958201546,-0.9386820977863193,NA,NA,0.4700879257418258,-0.31770496793090314
HSP13,34,Female,Heritage,Simultaneous,27,2,0,0,1.33,36,4,42,Advanced,Advanced,19,19,0,A,11P,3,0,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#05: tomar,506707,Mood,Subjunctive,EMPT,Production,Infrequent,Frequent,C,[–F/+F],Herencia,Producción,38,NA,1.5051654439726758,1.7009690067284597,1.1790609432526296,-0.4010863943079156,0.7300673633466935,-0.9386820977863193,NA,NA,0.4700879257418258,0.30751960521055366
HSP13,34,Female,Heritage,Simultaneous,27,2,0,0,1.33,36,4,42,Advanced,Advanced,19,19,0,A,18P,28,0,0,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,38,NA,1.5051654439726758,1.7009690067284597,1.1790609432526296,-0.4010863943079156,0.7300673633466935,-0.9386820977863193,NA,NA,-1.0032666156171597,0.30751960521055366
HSP14,39,Female,Heritage,Simultaneous,20,2,0,0,0.08,34,4,28,Intermediate,Intermediate,13,16,0,B,18P,23,1,1,#06: desear,desear,148807,NA,NA,Regular,1,Canonical,#09: robar,28182,Mood,Subjunctive,EMPT,Production,Infrequent,Infrequent,D,[–F/–F],Herencia,Producción,29,NA,0.10380451337742609,-0.21262112584105725,0.36278798253927075,-0.4010863943079156,-1.6061481993627256,-0.9386820977863193,NA,NA,-1.0032666156171597,-0.2800974748096125
