Participant_ID,Seq_part,Gender,ExpGroup,HerGroup,Age,Langs,AoA_SPA,AoA_ENG,LOR,SelfProf,SelfDom,DELE,ProfGroup,NativeRange,FofA_Prod,FofA_Comp,BLE,Battery,Item,Seq_Item,Response,Response_Freq,MainVerb,VerbList,Token_Main_Lemma,Token_Main_Pret,Token_Main_Imp,Reg_Main,Reg_Numerical,Syntax_Main,SubVerb,Token_Sub,Morpheme,Property,Task,Modality,MV_Class,SV_Class,Condition,Verb_Condition,Grupo,Tarea,FofA,Token_Differential,FofA_Std,FofA_Prod_Std,FofA_Comp_Std,AoA_ENG_Std,DELE_Std,Token_Main_Std,Token_Differential_Std,Token_Pret_Std,Token_Sub_Std,LOR_Std
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,50P,1,0,0,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,23,9386,-0.8280476075825213,-1.166052718533124,-0.45218066516812716,-0.39993279005245347,1.2271452891015797,-0.9312906780038411,0.9995325717542093,-0.9403423837341943,NA,-0.19960578996275158
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,49P,11,1,1,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-34938,-0.8280476075825213,-1.166052718533124,-0.45218066516812716,-0.39993279005245347,1.2271452891015797,1.072555177893241,-0.20319744242863488,0.17092536336815695,NA,-0.19960578996275158
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,48P,21,1,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-11415,-0.8280476075825213,-1.166052718533124,-0.45218066516812716,-0.39993279005245347,1.2271452891015797,-0.4863446617707579,0.43509824667034186,-0.17433806178714742,NA,-0.19960578996275158
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,47P,31,1,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EMPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-95053,-0.8280476075825213,-1.166052718533124,-0.45218066516812716,-0.39993279005245347,1.2271452891015797,1.3224498834199718,-1.8344156267667286,1.8077561784368898,NA,-0.19960578996275158
HSP01,6,Male,Heritage,Simultaneous,31,2,0,0,0.25,34,4,45,Advanced,Native Range,10,13,0,B,46P,41,0,0,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-5228,-0.8280476075825213,-1.166052718533124,-0.45218066516812716,-0.39993279005245347,1.2271452891015797,-0.9773697215386136,0.6029822507708124,-0.864001096283705,NA,-0.19960578996275158
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,50P,1,0,0,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,25,9386,-0.5175297547390757,-0.5300239629696016,-0.45218066516812716,-0.39993279005245347,0.062397218089910826,-0.9312906780038411,0.9995325717542093,-0.9403423837341943,NA,-0.31679118524421046
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,49P,11,0,0,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,25,-34938,-0.5175297547390757,-0.5300239629696016,-0.45218066516812716,-0.39993279005245347,0.062397218089910826,1.072555177893241,-0.20319744242863488,0.17092536336815695,NA,-0.31679118524421046
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,48P,21,0,0,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,25,-11415,-0.5175297547390757,-0.5300239629696016,-0.45218066516812716,-0.39993279005245347,0.062397218089910826,-0.4863446617707579,0.43509824667034186,-0.17433806178714742,NA,-0.31679118524421046
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,47P,31,0,0,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EMPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,25,-95053,-0.5175297547390757,-0.5300239629696016,-0.45218066516812716,-0.39993279005245347,0.062397218089910826,1.3224498834199718,-1.8344156267667286,1.8077561784368898,NA,-0.31679118524421046
HSP02,53,Female,Heritage,Simultaneous,20,2,0,0,0,32,3,38,Intermediate,Intermediate,12,13,0,B,46P,41,1,1,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EMPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,25,-5228,-0.5175297547390757,-0.5300239629696016,-0.45218066516812716,-0.39993279005245347,0.062397218089910826,-0.9773697215386136,0.6029822507708124,-0.864001096283705,NA,-0.31679118524421046
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,46P,9,1,1,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,31,-5228,0.4140238037912609,0.4240191703756817,0.36174453213450203,-0.39993279005245347,0.39518238123610194,-0.9773697215386136,0.6029822507708124,-0.864001096283705,NA,-0.16210646347268473
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,47P,19,1,NA,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,31,-95053,0.4140238037912609,0.4240191703756817,0.36174453213450203,-0.39993279005245347,0.39518238123610194,1.3224498834199718,-1.8344156267667286,1.8077561784368898,NA,-0.16210646347268473
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,48P,29,0,0,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,31,-11415,0.4140238037912609,0.4240191703756817,0.36174453213450203,-0.39993279005245347,0.39518238123610194,-0.4863446617707579,0.43509824667034186,-0.17433806178714742,NA,-0.16210646347268473
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,49P,39,0,0,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,31,-34938,0.4140238037912609,0.4240191703756817,0.36174453213450203,-0.39993279005245347,0.39518238123610194,1.072555177893241,-0.20319744242863488,0.17092536336815695,NA,-0.16210646347268473
HSP04,23,Female,Heritage,Simultaneous,21,2,0,0,0.33,37,3,40,Advanced,Advanced,15,16,0,A,50P,49,1,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,31,9386,0.4140238037912609,0.4240191703756817,0.36174453213450203,-0.39993279005245347,0.39518238123610194,-0.9312906780038411,0.9995325717542093,-0.9403423837341943,NA,-0.16210646347268473
HSP05,18,Male,Heritage,Simultaneous,20,2,0,0,0,27,3,40,Advanced,Advanced,12,21,0,A,46P,9,1,1,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,33,-5228,0.7245416566347065,-0.5300239629696016,1.718286527638884,-0.39993279005245347,0.39518238123610194,-0.9773697215386136,0.6029822507708124,-0.864001096283705,NA,-0.31679118524421046
HSP05,18,Male,Heritage,Simultaneous,20,2,0,0,0,27,3,40,Advanced,Advanced,12,21,0,A,47P,19,1,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,33,-95053,0.7245416566347065,-0.5300239629696016,1.718286527638884,-0.39993279005245347,0.39518238123610194,1.3224498834199718,-1.8344156267667286,1.8077561784368898,NA,-0.31679118524421046
HSP05,18,Male,Heritage,Simultaneous,20,2,0,0,0,27,3,40,Advanced,Advanced,12,21,0,A,48P,29,0,0,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,33,-11415,0.7245416566347065,-0.5300239629696016,1.718286527638884,-0.39993279005245347,0.39518238123610194,-0.4863446617707579,0.43509824667034186,-0.17433806178714742,NA,-0.31679118524421046
HSP05,18,Male,Heritage,Simultaneous,20,2,0,0,0,27,3,40,Advanced,Advanced,12,21,0,A,49P,39,0,0,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,33,-34938,0.7245416566347065,-0.5300239629696016,1.718286527638884,-0.39993279005245347,0.39518238123610194,1.072555177893241,-0.20319744242863488,0.17092536336815695,NA,-0.31679118524421046
HSP05,18,Male,Heritage,Simultaneous,20,2,0,0,0,27,3,40,Advanced,Advanced,12,21,0,A,50P,49,0,0,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,33,9386,0.7245416566347065,-0.5300239629696016,1.718286527638884,-0.39993279005245347,0.39518238123610194,-0.9312906780038411,0.9995325717542093,-0.9403423837341943,NA,-0.31679118524421046
HSP06,3,Female,Heritage,Simultaneous,26,3,0,0,0,33,3,49,Advanced,Native Range,20,20,0,A,46P,9,1,1,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,40,-5228,1.811354141586766,2.014091059284487,1.4469781285380074,-0.39993279005245347,1.8927156153939617,-0.9773697215386136,0.6029822507708124,-0.864001096283705,NA,-0.31679118524421046
HSP06,3,Female,Heritage,Simultaneous,26,3,0,0,0,33,3,49,Advanced,Native Range,20,20,0,A,47P,19,1,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,40,-95053,1.811354141586766,2.014091059284487,1.4469781285380074,-0.39993279005245347,1.8927156153939617,1.3224498834199718,-1.8344156267667286,1.8077561784368898,NA,-0.31679118524421046
HSP06,3,Female,Heritage,Simultaneous,26,3,0,0,0,33,3,49,Advanced,Native Range,20,20,0,A,48P,29,1,1,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,40,-11415,1.811354141586766,2.014091059284487,1.4469781285380074,-0.39993279005245347,1.8927156153939617,-0.4863446617707579,0.43509824667034186,-0.17433806178714742,NA,-0.31679118524421046
HSP06,3,Female,Heritage,Simultaneous,26,3,0,0,0,33,3,49,Advanced,Native Range,20,20,0,A,49P,39,1,1,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,40,-34938,1.811354141586766,2.014091059284487,1.4469781285380074,-0.39993279005245347,1.8927156153939617,1.072555177893241,-0.20319744242863488,0.17092536336815695,NA,-0.31679118524421046
HSP06,3,Female,Heritage,Simultaneous,26,3,0,0,0,33,3,49,Advanced,Native Range,20,20,0,A,50P,49,1,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,40,9386,1.811354141586766,2.014091059284487,1.4469781285380074,-0.39993279005245347,1.8927156153939617,-0.9312906780038411,0.9995325717542093,-0.9403423837341943,NA,-0.31679118524421046
HSP09,35,Female,Heritage,Simultaneous,23,2,0,0,0.416,24,1,30,Intermediate,Intermediate,12,11,0,B,50P,1,0,NA,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,23,9386,-0.8280476075825213,-0.5300239629696016,-0.99479746336988,-0.39993279005245347,-1.2687434344948536,-0.9312906780038411,0.9995325717542093,-0.9403423837341943,NA,-0.1217946874958629
HSP09,35,Female,Heritage,Simultaneous,23,2,0,0,0.416,24,1,30,Intermediate,Intermediate,12,11,0,B,49P,11,1,1,#05: gustar,gustar,541858,94346,59408,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-34938,-0.8280476075825213,-0.5300239629696016,-0.99479746336988,-0.39993279005245347,-1.2687434344948536,1.072555177893241,-0.20319744242863488,0.17092536336815695,NA,-0.1217946874958629
HSP09,35,Female,Heritage,Simultaneous,23,2,0,0,0.416,24,1,30,Intermediate,Intermediate,12,11,0,B,48P,21,0,0,#07: faltar,faltar,182742,66767,55352,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-11415,-0.8280476075825213,-0.5300239629696016,-0.99479746336988,-0.39993279005245347,-1.2687434344948536,-0.4863446617707579,0.43509824667034186,-0.17433806178714742,NA,-0.1217946874958629
HSP09,35,Female,Heritage,Simultaneous,23,2,0,0,0.416,24,1,30,Intermediate,Intermediate,12,11,0,B,47P,31,1,1,#04: vivir,vivir,599425,225093,130040,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Frequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-95053,-0.8280476075825213,-0.5300239629696016,-0.99479746336988,-0.39993279005245347,-1.2687434344948536,1.3224498834199718,-1.8344156267667286,1.8077561784368898,NA,-0.1217946874958629
HSP09,35,Female,Heritage,Simultaneous,23,2,0,0,0.416,24,1,30,Intermediate,Intermediate,12,11,0,B,46P,41,0,NA,#09: doler,doler,69627,11678,6450,Regular,1,DativeExp,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,23,-5228,-0.8280476075825213,-0.5300239629696016,-0.99479746336988,-0.39993279005245347,-1.2687434344948536,-0.9773697215386136,0.6029822507708124,-0.864001096283705,NA,-0.1217946874958629
HSP11,26,Female,Heritage,Simultaneous,20,2,0,3,0,35,5,34,Intermediate,Intermediate,13,13,0,B,50P,1,1,1,#08: amar,amar,80242,5580,14966,Regular,1,Canonical,NA,NA,Aspect,Imperfect,EAPT,Production,Infrequent,NA,J,Regular imperfect filler,Herencia,Producción,26,9386,-0.36227082831735297,-0.21200958518784058,-0.45218066516812716,2.4795832983252115,-0.6031731082024714,-0.9312906780038411,0.9995325717542093,-0.9403423837341943,NA,-0.31679118524421046
